road1,road2,intersection latitude,intersection longitude
BATTERY PL,W THAMES ST,40.70813335239191,-74.01662416555241
BATTERY PL,1 PL,40.7061761398826,-74.01792933407029
BATTERY PL,2 PL,40.706840427274734,-74.01757604416724
BATTERY PL,3 PL,40.707463557136855,-74.01712174462496
W THAMES ST,S END AVE,40.70845711985837,-74.0173997318686
HUGH L CAREY TUNL,BATTERY PARK UNDERPASS,40.70198794893099,-74.01573902599031
HUGH L CAREY TUNL,HUGH L CAREY TUNNEL EXIT,40.70524607665556,-74.01505451541765
HUGH L CAREY TUNL,HUGH L CAREY TUNNEL EN,40.70528447676409,-74.01525650141534
BROAD ST,PEARL ST,40.70344591137876,-74.01159534259607
BROAD ST,WATER ST,40.70296009699138,-74.01150509279131
BROAD ST,BEAVER ST,40.70495004721229,-74.0115487168681
BROAD ST,WALL ST,40.70711575040222,-74.01067623751081
BROAD ST,STONE ST,40.704019569075335,-74.01157740902941
BROAD ST,EXCHANGE PL,40.706278548761944,-74.01118826785164
BROAD ST,SOUTH ST,40.70178262599376,-74.0111658740283
BROAD ST,MARKETFIELD ST,40.7047222306652,-74.01155949752363
BROAD ST,S WILLIAM ST,40.704250130047164,-74.01157023570688
BROAD ST,BRIDGE ST,40.703577660101686,-74.01159536551201
ALBANY ST,S END AVE,40.71007942403205,-74.01638298206908
MORRIS ST,BATTERY PARK UNDERPASS,40.706700667666134,-74.0160467179293
STATE ST,PEARL ST,40.703151901026466,-74.01443009679454
STATE ST,WATER ST,40.70240825964418,-74.01282500668809
STATE ST,WHITEHALL ST,40.70240825964418,-74.01282500668809
STATE ST,PETER MINUIT PL,40.702405397928594,-74.0138348491486
STATE ST,BRIDGE ST,40.70359930270398,-74.01439052052444
GREENWICH ST,TRINITY PL,40.70623702818536,-74.01433698810037
GREENWICH ST,RECTOR ST,40.70796631993175,-74.01359073523909
GREENWICH ST,W BROADWAY,40.71278084336635,-74.01167993081161
GREENWICH ST,CORTLANDT ST,40.71087590302982,-74.01240100511556
GREENWICH ST,DUANE ST,40.71746899099168,-74.01069232551586
GREENWICH ST,BARCLAY ST,40.71360976829776,-74.01161153948586
GREENWICH ST,LIBERTY ST,40.71014851189023,-74.01266778787463
GREENWICH ST,CHAMBERS ST,40.71630244210065,-74.0109662957715
GREENWICH ST,VESEY ST,40.71278084336635,-74.01167993081161
GREENWICH ST,CEDAR ST,40.70970933106806,-74.01283723234805
GREENWICH ST,THAMES ST,40.70935523925286,-74.01299226335888
GREENWICH ST,CARLISLE ST,40.70873214718424,-74.01326266125083
GREENWICH ST,PARK PL,40.714293222202016,-74.01152869236442
GREENWICH ST,EDGAR ST,40.70710990922212,-74.01396206481608
TRINITY PL,RECTOR ST,40.70777151411044,-74.01296309970473
TRINITY PL,CHURCH ST,40.70969298505516,-74.01168660370406
TRINITY PL,LIBERTY ST,40.70969298505516,-74.01168660370406
TRINITY PL,CEDAR ST,40.7093059479477,-74.01193541577996
TRINITY PL,THAMES ST,40.70907811680936,-74.01208686660068
TRINITY PL,EXCHANGE ALY,40.707145660959924,-74.0133741576043
TRINITY PL,EDGAR ST,40.70694253158625,-74.01351838995673
PEARL ST,WATER ST,40.707437311343426,-74.00405771118673
PEARL ST,WHITEHALL ST,40.703099921086334,-74.01299825749884
PEARL ST,BEAVER ST,40.70544715044451,-74.0080069776994
PEARL ST,WALL ST,40.70554596596151,-74.00794928153533
PEARL ST,STONE ST,40.704774549085364,-74.00974533129346
PEARL ST,HANOVER ST,40.70493930192499,-74.00891941667017
PEARL ST,CEDAR ST,40.706374938380996,-74.00713063748888
PEARL ST,HANOVER SQ,40.704774549085364,-74.00974533129346
PEARL ST,COENTIES ALY,40.70380558115553,-74.01049537449033
PEARL ST,MOORE ST,40.703207014595435,-74.01256908993989
PEARL ST,PINE ST,40.706051035882744,-74.0074516062077
WATER ST,WHITEHALL ST,40.70240825964418,-74.01282500668809
WATER ST,WALL ST,40.705183694077164,-74.00739380153583
WATER ST,GOUVERNEUR LN,40.70467311850831,-74.00812590598927
WATER ST,OLD SLIP,40.70421194926942,-74.00878947887584
WATER ST,HANOVER SQ,40.70408567476818,-74.00898782924529
WATER ST,MOORE ST,40.70268553687404,-74.01231292320932
WATER ST,PINE ST,40.7056228949827,-74.0067662746662
WHITEHALL ST,STONE ST,40.70404135416094,-74.01318598793776
WHITEHALL ST,SOUTH ST,40.701505261974,-74.01255073642797
WHITEHALL ST,BRIDGE ST,40.70358847618555,-74.01311376543592
RECTOR ST,BROADWAY,40.707450486819845,-74.01194590412761
RECTOR ST,HUGH L CAREY TUNNEL APPR,40.708495838949176,-74.01534380229157
BEAVER ST,HANOVER ST,40.70530983669678,-74.00902766842657
BEAVER ST,S WILLIAM ST,40.70514781666454,-74.00998343007632
BEAVER ST,NEW ST,40.705002084092925,-74.01263074268125
BEAVER ST,HANOVER SQ,40.70530983669678,-74.00902766842657
CHURCH ST,CORTLANDT ST,40.71036549716655,-74.01123223799067
CHURCH ST,DUANE ST,40.71599807731487,-74.00709559383127
CHURCH ST,THOMAS ST,40.71653333084791,-74.00667359125764
CHURCH ST,BARCLAY ST,40.71272338998901,-74.00966713636964
CHURCH ST,CHAMBERS ST,40.7149275654939,-74.00793957864515
CHURCH ST,VESEY ST,40.71208382140804,-74.01012153894817
CHURCH ST,PARK PL,40.71325590754958,-74.0092559963061
CHURCH ST,DEY ST,40.71101604729775,-74.01079950184649
WALL ST,BROADWAY,40.70775518040479,-74.01170429833229
WALL ST,HANOVER ST,40.70601251312802,-74.0088113569478
WALL ST,FRONT ST,40.70482416060082,-74.00689964197612
WALL ST,SOUTH ST,40.704352105709305,-74.00610972856256
WALL ST,NEW ST,40.70750819664119,-74.0112533976848
HENRY HUDSON PKWY,W 79 ST,40.7855353557191,-73.9839992818358
HENRY HUDSON PKWY,HENRY HUDSON PARKWAY ET 10 SB,40.787280878451696,-73.98310690092458
HENRY HUDSON PKWY,HENRY HUDSON PY NB EN W 79 WB,40.78812895475625,-73.98279612031914
HENRY HUDSON PKWY,HENRY HUDSON PARKWAY ET 11 SB,40.79611499430785,-73.9764303131814
HENRY HUDSON PKWY,HENRY HUDSON PY SB EN W 96 ST,40.797105678304106,-73.97564622072709
HENRY HUDSON PKWY,HENRY HUDSON PY NB EN W 79 EB,40.7853679424849,-73.98411126542662
HENRY HUDSON PKWY,HENRY HUDSON PARKWAY ET 11 NB,40.795958581564186,-73.97661095109142
HENRY HUDSON PKWY,HENRY HUDSON PKWY NB ET 10 B,40.78574119004824,-73.98385117742065
HENRY HUDSON PKWY,HENRY HUDSON PY SB EN W 79 ST,40.78365538917994,-73.98532135346309
HENRY HUDSON PKWY,HENRY HUDSON PY NB EN W 96 ST,40.79725392101745,-73.97577618844696
12 AVE,RIVERSIDE DR,40.82062577328633,-73.95841449205317
11 AVE,W 17 ST,40.74470264365424,-74.00834732065786
11 AVE,W 18 ST,40.74541628917924,-74.00819944474085
11 AVE,W 23 ST,40.74889121888955,-74.0070233062315
11 AVE,W 16 ST,40.744024682273455,-74.00845910960537
11 AVE,W 19 ST,40.74611071892257,-74.00808404386694
11 AVE,W 24 ST,40.74955273223973,-74.00652892452881
11 AVE,W 15 ST,40.74321222472387,-74.00861418446934
11 AVE,W 22 ST,40.74821049223167,-74.00748519439084
11 AVE,W 20 ST,40.746813383476955,-74.00795781461353
11 AVE,W 21 ST,40.74753526130844,-74.0078279759307
WEST ST,HOLLAND TUNNEL EXIT,40.725725192231096,-74.01103639537962
WEST ST,WATTS ST,40.724275929539345,-74.01135363876189
WEST ST,HOLLAND TUNNEL ENTRANCE,40.7260957406191,-74.01097151518879
WEST ST,CHARLES ST,40.733822296401335,-74.01021865633174
WEST ST,CANAL ST,40.72579381219197,-74.01102558319985
